,feature,importance
130,MEAN(bureau.AMT_CREDIT_SUM_DEBT),93.0
131,MIN(previous_app.DAYS_FIRST_DRAWING),1.8000000000000003
132,MAX(previous_app.DAYS_DECISION),41.6
133,MIN(previous_app.DAYS_FIRST_DUE),9.2
134,MAX(credit.SK_DPD),1.0
135,MEAN(previous_app.AMT_GOODS_PRICE),23.4
136,MIN(cash.SK_DPD_DEF),0.0
137,MIN(bureau.DAYS_ENDDATE_FACT),37.6
138,MEAN(cash.SK_ID_CURR),38.2
139,SUM(credit.AMT_BALANCE),2.6
140,MEAN(bureau.CREDIT_DAY_OVERDUE),1.2000000000000002
141,MEAN(installments.NUM_INSTALMENT_VERSION),28.799999999999997
142,MEAN(installments.NUM_INSTALMENT_NUMBER),14.200000000000001
143,MEAN(previous_app.RATE_DOWN_PAYMENT),34.8
144,MEAN(bureau.AMT_CREDIT_SUM_OVERDUE),6.4
145,SUM(bureau.CNT_CREDIT_PROLONG),0.0
146,MIN(previous_app.DAYS_DECISION),18.6
147,MIN(cash.SK_ID_CURR),0.0
148,SUM(credit.AMT_PAYMENT_CURRENT),4.800000000000001
149,MEAN(credit.AMT_BALANCE),5.0
150,MIN(bureau.CNT_CREDIT_PROLONG),0.0
151,MAX(credit.AMT_DRAWINGS_ATM_CURRENT),4.2
152,MIN(installments.AMT_INSTALMENT),37.8
153,MAX(credit.AMT_TOTAL_RECEIVABLE),1.8
154,SUM(cash.CNT_INSTALMENT),17.8
155,MAX(previous_app.RATE_INTEREST_PRIMARY),1.4
156,MEAN(bureau.DAYS_CREDIT_ENDDATE),49.8
157,MEAN(credit.SK_ID_CURR),12.8
158,MEAN(previous_app.DAYS_FIRST_DUE),17.0
159,COUNT(cash),16.800000000000004
160,MEAN(previous_app.DAYS_DECISION),38.400000000000006
161,MEAN(previous_app.DAYS_FIRST_DRAWING),2.8
162,MEAN(bureau.DAYS_ENDDATE_FACT),46.8
163,MAX(installments.AMT_PAYMENT),14.0
164,MAX(previous_app.AMT_ANNUITY),39.599999999999994
165,SUM(bureau.AMT_ANNUITY),10.8
166,MAX(previous_app.DAYS_FIRST_DRAWING),0.0
167,MAX(cash.CNT_INSTALMENT_FUTURE),2.6
168,MEAN(previous_app.NFLAG_LAST_APPL_IN_DAY),1.4000000000000001
169,MAX(previous_app.HOUR_APPR_PROCESS_START),23.200000000000003
170,MAX(previous_app.AMT_CREDIT),20.200000000000003
171,MEAN(previous_app.SELLERPLACE_AREA),55.6
172,MAX(previous_app.RATE_INTEREST_PRIVILEGED),0.2
173,MIN(previous_app.RATE_DOWN_PAYMENT),34.8
174,MIN(bureau.AMT_CREDIT_SUM),67.0
175,MAX(previous_app.DAYS_LAST_DUE),8.4
176,MIN(previous_app.AMT_CREDIT),21.0
177,MEAN(credit.AMT_DRAWINGS_ATM_CURRENT),5.6
178,MEAN(previous_app.AMT_APPLICATION),24.800000000000004
179,MAX(installments.DAYS_INSTALMENT),35.6
180,MEAN(previous_app.RATE_INTEREST_PRIVILEGED),0.2
181,MEAN(previous_app.HOUR_APPR_PROCESS_START),62.599999999999994
182,MAX(installments.AMT_INSTALMENT),17.2
183,SUM(bureau.AMT_CREDIT_MAX_OVERDUE),33.4
184,SUM(previous_app.RATE_INTEREST_PRIMARY),0.8
185,MEAN(bureau.DAYS_CREDIT_UPDATE),44.4
186,MAX(bureau.DAYS_CREDIT),138.79999999999998
187,SUM(credit.AMT_RECEIVABLE_PRINCIPAL),1.6
188,MAX(credit.AMT_BALANCE),2.8000000000000003
189,MAX(credit.AMT_DRAWINGS_OTHER_CURRENT),1.6
190,MIN(previous_app.CNT_PAYMENT),7.6
191,MIN(bureau.CREDIT_DAY_OVERDUE),0.0
192,MIN(cash.CNT_INSTALMENT_FUTURE),1.4
193,MIN(credit.AMT_RECIVABLE),3.9999999999999996
194,MEAN(credit.CNT_DRAWINGS_POS_CURRENT),3.8
195,SUM(credit.MONTHS_BALANCE),5.2
196,MAX(bureau.DAYS_ENDDATE_FACT),99.6
197,MIN(credit.CNT_DRAWINGS_ATM_CURRENT),0.0
198,MIN(credit.AMT_DRAWINGS_ATM_CURRENT),0.0
199,COUNT(previous_app),2.2
200,MIN(credit.SK_ID_CURR),0.0
201,SUM(previous_app.DAYS_LAST_DUE_1ST_VERSION),28.4
202,SUM(bureau.DAYS_CREDIT),41.6
203,MEAN(credit.CNT_DRAWINGS_OTHER_CURRENT),1.2000000000000002
204,MIN(installments.DAYS_INSTALMENT),8.399999999999999
205,MIN(credit.SK_DPD_DEF),0.0
206,MAX(credit.CNT_DRAWINGS_OTHER_CURRENT),0.0
207,SUM(credit.CNT_DRAWINGS_POS_CURRENT),3.4000000000000004
208,MAX(credit.CNT_DRAWINGS_CURRENT),8.6
209,SUM(bureau.DAYS_CREDIT_UPDATE),29.199999999999996
210,MIN(bureau.DAYS_CREDIT_UPDATE),32.0
211,MAX(credit.AMT_DRAWINGS_POS_CURRENT),5.199999999999999
212,MIN(previous_app.AMT_DOWN_PAYMENT),18.4
213,SUM(credit.SK_DPD_DEF),0.2
214,SUM(installments.AMT_INSTALMENT),18.2
